Sequence ID,Start,End,Motif
>XP_072197995.1 glucose-6-phosphatase 2 isoform X2 [Excalfactoria chinensis],,,None found
>XP_072197994.1 glucose-6-phosphatase 2 isoform X1 [Excalfactoria chinensis],,,None found
>XP_072212784.1 glucose-6-phosphatase catalytic subunit 1 [Excalfactoria chinensis],,,None found
>XP_071897036.1 glucose-6-phosphatase 2 isoform X2 [Anas platyrhynchos],,,None found
>XP_071884849.1 glucose-6-phosphatase 3 [Anas platyrhynchos],,,None found
>XP_071654328.1 glucose-6-phosphatase 3 [Patagioenas fasciata],211,221,THIOL_PROTEASE_HIS
>XP_071654328.1 glucose-6-phosphatase 3 [Patagioenas fasciata],,,None found
>XP_071654327.1 glucose-6-phosphatase 3 [Patagioenas fasciata],211,221,THIOL_PROTEASE_HIS
>XP_071654327.1 glucose-6-phosphatase 3 [Patagioenas fasciata],,,None found
>XP_065712012.2 glucose-6-phosphatase catalytic subunit 1 [Patagioenas fasciata],139,142,AMIDATION
>XP_065712012.2 glucose-6-phosphatase catalytic subunit 1 [Patagioenas fasciata],,,None found
>XP_071603542.1 glucose-6-phosphatase 2 isoform X2 [Heliangelus exortis],,,None found
>XP_071603541.1 glucose-6-phosphatase 2 isoform X1 [Heliangelus exortis],,,None found
>XP_071584795.1 glucose-6-phosphatase catalytic subunit 1 isoform X2 [Heliangelus exortis],139,142,AMIDATION
>XP_071584795.1 glucose-6-phosphatase catalytic subunit 1 isoform X2 [Heliangelus exortis],,,None found
>XP_071584794.1 glucose-6-phosphatase catalytic subunit 1 isoform X1 [Heliangelus exortis],139,142,AMIDATION
>XP_071584794.1 glucose-6-phosphatase catalytic subunit 1 isoform X1 [Heliangelus exortis],,,None found
>XP_071418251.1 glucose-6-phosphatase 2 [Pithys albifrons albifrons],,,None found
>XP_071433748.1 glucose-6-phosphatase catalytic subunit 1 [Pithys albifrons albifrons],139,142,AMIDATION
>XP_071433748.1 glucose-6-phosphatase catalytic subunit 1 [Pithys albifrons albifrons],,,None found
>XP_071433677.1 glucose-6-phosphatase 3 isoform X2 [Pithys albifrons albifrons],,,None found
>XP_071433676.1 glucose-6-phosphatase 3 isoform X1 [Pithys albifrons albifrons],,,None found
>XP_071307265.1 glucose-6-phosphatase catalytic subunit 1 [Agelaius tricolor],,,None found
>XP_071307049.1 glucose-6-phosphatase 3 isoform X2 [Agelaius tricolor],,,None found
>XP_071307048.1 glucose-6-phosphatase 3 isoform X1 [Agelaius tricolor],,,None found
>XP_071291063.1 glucose-6-phosphatase 2 [Agelaius tricolor],,,None found
>XP_069717900.1 glucose-6-phosphatase 2 [Phaenicophaeus curvirostris],,,None found
>XP_069733417.1 glucose-6-phosphatase 3 [Phaenicophaeus curvirostris],,,None found
>XP_069733174.1 glucose-6-phosphatase catalytic subunit 1 [Phaenicophaeus curvirostris],139,142,AMIDATION
>XP_069733174.1 glucose-6-phosphatase catalytic subunit 1 [Phaenicophaeus curvirostris],,,None found
>XP_069642690.1 glucose-6-phosphatase 3 [Haliaeetus albicilla],,,None found
>XP_069642348.1 glucose-6-phosphatase catalytic subunit 1 isoform X2 [Haliaeetus albicilla],139,142,AMIDATION
>XP_069642348.1 glucose-6-phosphatase catalytic subunit 1 isoform X2 [Haliaeetus albicilla],,,None found
>XP_069642347.1 glucose-6-phosphatase catalytic subunit 1 isoform X1 [Haliaeetus albicilla],139,142,AMIDATION
>XP_069642347.1 glucose-6-phosphatase catalytic subunit 1 isoform X1 [Haliaeetus albicilla],,,None found
>XP_069637418.1 glucose-6-phosphatase 2 isoform X2 [Haliaeetus albicilla],,,None found
>XP_009924582.1 glucose-6-phosphatase 2 isoform X1 [Haliaeetus albicilla],,,None found
>XP_030908082.1 glucose-6-phosphatase 2 isoform X1 [Melopsittacus undulatus],,,None found
>XP_030908081.1 glucose-6-phosphatase 2 isoform X3 [Melopsittacus undulatus],,,None found
>XP_030908080.1 glucose-6-phosphatase 2 isoform X3 [Melopsittacus undulatus],,,None found
>XP_005139910.2 glucose-6-phosphatase catalytic subunit 1 [Melopsittacus undulatus],139,142,AMIDATION
>XP_005139910.2 glucose-6-phosphatase catalytic subunit 1 [Melopsittacus undulatus],,,None found
>XP_005152833.1 glucose-6-phosphatase 2 isoform X2 [Melopsittacus undulatus],,,None found
>KAL2302319.1 hypothetical protein Nmel_009743 [Mimus melanotis],,,None found
>XP_068876848.1 glucose-6-phosphatase 2 isoform X3 [Aphelocoma coerulescens],,,None found
>XP_068876847.1 glucose-6-phosphatase 2 isoform X2 [Aphelocoma coerulescens],,,None found
>XP_068876846.1 glucose-6-phosphatase 2 isoform X1 [Aphelocoma coerulescens],,,None found
>XP_068852892.1 glucose-6-phosphatase catalytic subunit 1 [Aphelocoma coerulescens],139,142,AMIDATION
>XP_068852892.1 glucose-6-phosphatase catalytic subunit 1 [Aphelocoma coerulescens],,,None found
>XP_068852467.1 glucose-6-phosphatase 3 isoform X2 [Aphelocoma coerulescens],,,None found
>XP_068852466.1 glucose-6-phosphatase 3 isoform X1 [Aphelocoma coerulescens],,,None found
>XP_068804785.1 glucose-6-phosphatase 2 [Struthio camelus],33,35,RGD
>XP_068804785.1 glucose-6-phosphatase 2 [Struthio camelus],,,None found
>XP_068775601.1 glucose-6-phosphatase 3 isoform X1 [Struthio camelus],,,None found
>XP_068775599.1 glucose-6-phosphatase 3 isoform X2 [Struthio camelus],,,None found
>XP_068775598.1 glucose-6-phosphatase 3 isoform X2 [Struthio camelus],,,None found
>XP_068775597.1 glucose-6-phosphatase 3 isoform X2 [Struthio camelus],,,None found
>XP_068775596.1 glucose-6-phosphatase 3 isoform X2 [Struthio camelus],,,None found
>XP_068775595.1 glucose-6-phosphatase 3 isoform X1 [Struthio camelus],,,None found
>XP_068775594.1 glucose-6-phosphatase 3 isoform X1 [Struthio camelus],,,None found
>XP_068775593.1 glucose-6-phosphatase 3 isoform X1 [Struthio camelus],,,None found
>XP_068775592.1 glucose-6-phosphatase 3 isoform X1 [Struthio camelus],,,None found
>XP_068775591.1 glucose-6-phosphatase 3 isoform X1 [Struthio camelus],,,None found
>XP_068775590.1 glucose-6-phosphatase 3 isoform X1 [Struthio camelus],,,None found
>XP_068775588.1 glucose-6-phosphatase 3 isoform X1 [Struthio camelus],,,None found
>XP_068775122.1 glucose-6-phosphatase catalytic subunit 1 [Struthio camelus],353,356,AMIDATION
>XP_068775122.1 glucose-6-phosphatase catalytic subunit 1 [Struthio camelus],,,None found
>XP_031362869.1 glucose-6-phosphatase 3 [Lonchura striata],,,None found
>XP_021390442.1 glucose-6-phosphatase 2 isoform X3 [Lonchura striata],,,None found
>XP_021390439.1 glucose-6-phosphatase 2 isoform X2 [Lonchura striata],,,None found
>XP_021390438.1 glucose-6-phosphatase 2 isoform X2 [Lonchura striata],,,None found
>XP_021390437.1 glucose-6-phosphatase 2 isoform X1 [Lonchura striata],,,None found
>XP_021388517.1 glucose-6-phosphatase catalytic subunit 1 [Lonchura striata],,,None found
>XP_068542888.1 glucose-6-phosphatase 2 isoform X3 [Anas acuta],,,None found
>XP_068542887.1 glucose-6-phosphatase 2 isoform X2 [Anas acuta],,,None found
>XP_068542886.1 glucose-6-phosphatase 2 isoform X1 [Anas acuta],,,None found
